PROJECT;SEQUENCE;STEP;PIN0;PIN1;PIN3;PIN4;PIN5;PIN6;PIN8;PIN10;PIN11;PIN16;PIN17;PIN18;PIN20;PIN21;PIN22;PIN24;PIN25;PIN26;T0;T1;T3;T4;T5;T6;T8;T10;T11;T16;T17;T18;T20;T21;T22;T24;T25;T26;TMAX;TTOTAL;INFO1
Robusta;21;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri13
Robusta;21;2;-28,84;-25,47;-28,86;0,00;-81,75;-62,70;28,84;-25,47;-28,86;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri13
Robusta;21;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri13
Robusta;21;4;-9,16;-23,71;-12,92;0,00;-81,75;-62,70;9,16;-23,71;-12,92;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri13
Robusta;22;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri14
Robusta;22;2;-28,84;-25,47;-28,86;0,00;-81,75;-62,70;28,84;-25,47;-28,86;3,52;-8,47;24,75;0,00;-81,75;-62,70;-3,52;-8,47;24,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri14
Robusta;22;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri14
Robusta;22;4;-9,16;-23,71;-12,92;0,00;-81,75;-62,70;9,16;-23,71;-12,92;-69,90;-24,27;-33,36;0,00;-81,75;-62,70;69,90;-24,27;-33,36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri14
Robusta;23;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri23
Robusta;23;2;-43,67;-24,57;-32,63;0,00;-81,75;-62,70;43,67;-24,57;-32,63;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri23
Robusta;23;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri23
Robusta;23;4;-3,00;-19,70;-0,64;0,00;-81,75;-62,70;3,00;-19,70;-0,64;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri23
Robusta;24;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri24
Robusta;24;2;-43,67;-24,57;-32,63;0,00;-81,75;-62,70;43,67;-24,57;-32,63;3,52;-8,47;24,75;0,00;-81,75;-62,70;-3,52;-8,47;24,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri24
Robusta;24;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri24
Robusta;24;4;-3,00;-19,70;-0,64;0,00;-81,75;-62,70;3,00;-19,70;-0,64;-69,90;-24,27;-33,36;0,00;-81,75;-62,70;69,90;-24,27;-33,36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri24
Robusta;25;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri34
